Datum;Uhrzeit;Beleg-Nr.;Artikel;Menge;Einzelpreis (EUR);Gesamtpreis (EUR);MwSt.-Klasse;Storniert
17.07.2026;16:47;1;Maultaschen mit Kartoffelsalat;2;8;16;A;Nein
17.07.2026;16:47;1;Wilde Kartoffeln;1;2.5;2.5;A;Nein
17.07.2026;16:51;2;Wilde Kartoffeln;1;2.5;2.5;A;Nein
17.07.2026;16:51;2;Pommes;1;2;2;A;Nein
17.07.2026;17:18;3;Wilde Kartoffeln;1;2.5;2.5;A;Nein
17.07.2026;17:18;3;Pommes;1;2;2;A;Nein
17.07.2026;23:52;4;Kuchen;2;3;6;A;Nein
18.07.2026;17:03;5;Kuchen;2;3;6;A;Nein
18.07.2026;17:03;5;Kaffee;1;1;1;A;Nein
18.07.2026;17:07;6;Pommes;3;2;6;A;Nein
18.07.2026;17:07;6;Kuchen;1;3;3;A;Nein
18.07.2026;17:09;7;Maultaschen mit Kartoffelsalat;1;8;8;A;Nein
18.07.2026;17:09;7;Wilde Kartoffeln;1;2.5;2.5;A;Nein
18.07.2026;17:09;7;Pommes;1;2;2;A;Nein
18.07.2026;17:09;7;Kuchen;1;3;3;A;Nein
18.07.2026;17:09;7;Kaffee;1;1;1;A;Nein
18.07.2026;17:09;7;Bier;1;2;2;B;Nein
18.07.2026;17:09;7;Pfand;1;0.5;0.5;B;Nein
18.07.2026;17:09;7;Radler;1;2;2;B;Nein
18.07.2026;17:09;7;Pfand;1;0.5;0.5;B;Nein
18.07.2026;17:09;7;Citro;1;1.5;1.5;B;Nein
18.07.2026;17:09;7;Pfand;1;0.5;0.5;B;Nein
18.07.2026;17:09;7;Apfelschorle;1;1.5;1.5;B;Nein
18.07.2026;17:09;7;Pfand;1;0.5;0.5;B;Nein
18.07.2026;17:09;7;Mineralwasser;1;1;1;B;Nein
18.07.2026;17:09;7;Pfand;1;0.5;0.5;B;Nein
18.07.2026;22:28;8;Apfelschorle;1;1.5;1.5;B;Nein
18.07.2026;22:28;8;Pfand;1;1;1;B;Nein
18.07.2026;22:28;8;Mineralwasser;1;1;1;B;Nein
18.07.2026;22:28;8;Pfand;1;1;1;B;Nein
18.07.2026;23:03;9;Bier;1;2;2;B;Nein
18.07.2026;23:03;9;Pfand;1;1;1;B;Nein
18.07.2026;23:03;9;Radler;1;2;2;B;Nein
18.07.2026;23:03;9;Pfand;1;1;1;B;Nein
19.07.2026;04:54;10;Wilde Kartoffeln;1;2.5;2.5;A;Nein
19.07.2026;05:41;11;Kuchen;1;3;3;A;Nein
19.07.2026;19:23;12;Kuchen;1;3;3;A;Nein
19.07.2026;21:19;13;Kaffee;1;1;1;A;Nein
19.07.2026;21:37;14;Pommes;1;2;2;A;Nein
19.07.2026;22:55;15;Kuchen;1;3;3;A;Nein
19.07.2026;23:09;16;Kuchen;1;3;3;A;Nein
19.07.2026;23:10;17;Citro;1;1.5;1.5;B;Nein
19.07.2026;23:10;17;Pfand;1;1;1;B;Nein
19.07.2026;23:19;18;Pommes;1;2;2;A;Nein
19.07.2026;23:20;19;Pommes;1;2;2;A;Nein
19.07.2026;23:20;19;Kuchen;1;3;3;A;Nein
19.07.2026;23:21;20;HSG;1;5;5;A;Nein
19.07.2026;23:48;21;Pommes;1;2;2;A;Nein
19.07.2026;23:48;21;Kuchen;1;3;3;A;Nein
